Hour,Access,Alcohol,Align,Day,Hit,Light,Collision,Interection,Weather,ADT,Num Lanes,Pav Width,Dr Age,Dr Cond.,Dr Distract,Dr Gender,Num Occ,Veh Year,Violations,Ped Age,Ped Cond.,Ped Inj.,Ped Gender
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,45-54,Normal,Not Distracted,Male,Four,2001-2010,No Violations,Unk,Unk,Moderate,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Unk,TRUE,Clear,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Male,One,2001-2010,Unk,15-24,Normal,Complaint,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Rear End,FALSE,Abnormal,Unk,No Info.,Unk,25-34,Inattentive/Distracted,Not Distracted,Male,One,1991-2000,Careless Operation,Unk,Normal,Complaint,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Single Vehicle,TRUE,Abnormal,Unk,No Info.,Unk,45-54,Normal,Not Distracted,Male,Two,2001-2010,No Violations,15-24,Normal,Complaint,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,"Dusk, Dawn",Single Vehicle,TRUE,Abnormal,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Female,One,2001-2010,No Violations,15-24,Inattentive/Distracted,Moderate,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Unk,Unk,FALSE,Clear,Unk,No Info.,Unk,35-44,Inattentive/Distracted,Not Distracted,Male,One,2001-2010,Careless Operation,15-24,Normal,No Injury,Female
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,TRUE,Daylight,Unk,TRUE,Abnormal,Over 10000,Four,Very Wide,Unk,Unk,Unk,Unk,One,Unk ,Unk,25-34,Normal,Moderate,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Right Angle,FALSE,Clear,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Female,Three,2001-2010,No Violations,Unk,Inattentive/Distracted,Moderate,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Unk,FALSE,Clear,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Male,One,1991-2000,No Violations,Unk,Inattentive/Distracted,Moderate,Female
6AM-12PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,25-34,Inattentive/Distracted,Inside Vehi.,Female,One,1991-2000,Careless Operation,55-64,Normal,Complaint,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,FALSE,Clear,Over 10000,Two,Narrow,55-64,Inattentive/Distracted,Inside Vehi.,Male,One,1991-2000,Careless Operation,55-64,Normal,Complaint,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,35-44,Normal,Not Distracted,Male,One,2001-2010,No Violations,15-24,Normal,Moderate,Female
6AM-12PM,Full Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,TRUE,Abnormal,Over 10000,Four,Very Wide,65-74,Normal,Not Distracted,Female,Two,2001-2010,Unk,Unk,Unk,No Injury,Unk
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,35-44,Normal,Not Distracted,Female,Two,2001-2010,No Violations,45-54,Unk,Moderate,Male
12AM-6AM,No Control,FALSE,Straight-Level,Weekend,TRUE,Dark - Street Light,Single Vehicle,FALSE,Abnormal,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,Unk ,Unk,35-44,Normal,No Injury,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,15-24,Normal,Unk,Female,One,2001-2010,No Violations,25-34,Unk,Complaint,Female
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Single Vehicle,FALSE,Abnormal,Over 10000,Four,Very Wide,25-34,Normal,Not Distracted,Male,Two,2001-2010,No Violations,45-54,Inattentive/Distracted,Moderate,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,TRUE,Daylight,Sideswipe,FALSE,Clear,Unk,No Info.,Unk,45-54,Normal,Not Distracted,Female,One,2001-2010,Failure To Yield,15-24,Normal,Complaint,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Male,One,1991-2000,Unk,Unk,Inattentive/Distracted,Moderate,Female
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Right Angle,FALSE,Abnormal,Unk,No Info.,Unk,35-44,Normal,Not Distracted,Male,Two,1991-2000,No Violations,25-34,Normal,Moderate,Male
12AM-6AM,Full Control,FALSE,Straight-Level,Weekday,TRUE,Dark - Street Light,Sideswipe,TRUE,Clear,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,Unk ,Careless Operation,45-54,Unk,Moderate,Male
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,FALSE,Abnormal,Unk,No Info.,Unk,45-54,Normal,Not Distracted,Male,One,2001-2010,No Violations,Unk,Unk,Complaint,Female
6AM-12PM,No Control,TRUE,Straight-Level,Weekday,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,55-64,Impaired,Not Distracted,Male,One,1991-2000,Careless Operation,Unk,Unk,No Injury,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Unk,TRUE,Clear,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Female,Two,2001-2010,No Violations,45-54,Unk,Moderate,Male
6PM-12AM,Full Control,TRUE,Straight-Level,Weekday,FALSE,Daylight,Right Turn,TRUE,Clear,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Male,One,2001-2010,No Violations,Unk,Impaired,No Injury,Male
6PM-12AM,No Control,TRUE,Straight-Level,Weekend,FALSE,Dark - Street Light,Head-On,FALSE,Clear,Unk,No Info.,Unk,45-54,Impaired,Inside Vehi.,Male,One,2001-2010,Driver Condition,15-24,Unk,Moderate,Female
12AM-6AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Female,Two,2001-2010,No Violations,55-64,Unk,Moderate,Male
12AM-6AM,No Control,TRUE,Straight-Level,Weekday,TRUE,Dark - Street Light,Unk,TRUE,Clear,Unk,No Info.,Unk,15-24,Impaired,Unk,Male,One,1991-2000,Careless Operation,15-24,Unk,Severe,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,TRUE,Clear,Over 10000,Four,Very Wide,45-54,Normal,Not Distracted,Female,One,1990 and Before,No Violations,45-54,Unk,Complaint,Male
12PM-6PM,No Control,TRUE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,45-54,Impaired,Not Distracted,Male,One,1991-2000,Exceeding Stated Speed Limit,Unk,Unk,Moderate,Male
12AM-6AM,Partial Control,TRUE,Straight-Level,Weekend,FALSE,Dark - Street Light,Unk,TRUE,Clear,Unk,No Info.,Unk,25-34,Impaired,Unk,Male,One,2001-2010,Unk,15-24,Unk,No Injury,Male
12AM-6AM,Partial Control,TRUE,Straight-Level,Weekend,FALSE,Dark - Street Light,Unk,TRUE,Clear,Unk,No Info.,Unk,25-34,Impaired,Unk,Male,One,2001-2010,Unk,15-24,Unk,No Injury,Male
6PM-12AM,Partial Control,FALSE,On Grade,Weekend,TRUE,Dark - Street Light,Unk,FALSE,Abnormal,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,Unk ,Unk,15-24,Normal,Complaint,Male
12AM-6AM,Partial Control,TRUE,On Grade,Weekend,TRUE,Dark - Street Light,Unk,FALSE,Clear,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,Unk ,Unk,55-64,Impaired,Moderate,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,TRUE,Abnormal,Unk,No Info.,Unk,65-74,Inattentive/Distracted,Unk,Male,One,1991-2000,No Violations,Unk,Normal,No Injury,Unk
12PM-6PM,Full Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Abnormal,Unk,No Info.,Unk,45-54,Normal,Not Distracted,Female,Two,2001-2010,Unk,35-44,Normal,Complaint,Male
12PM-6PM,No Control,FALSE,Unk,Weekday,FALSE,Dark - Street Light,Head-On,FALSE,Clear,Unk,No Info.,Unk,45-54,Unk,Unk,Male,One,Unk ,Unk,35-44,Normal,Complaint,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,TRUE,Dark - No Street Lights,Unk,FALSE,Clear,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,2001-2010,Careless Operation,15-24,Normal,Complaint,Female
6PM-12AM,No Control,TRUE,Straight-Level,Weekday,TRUE,Dark - Street Light,Single Vehicle,TRUE,Clear,Unk,No Info.,Unk,25-34,Unk,Unk,Male,One,2001-2010,Unk,15-24,Unk,Fatal,Female
6PM-12AM,No Control,TRUE,Straight-Level,Weekday,TRUE,Dark - Street Light,Single Vehicle,TRUE,Clear,Unk,No Info.,Unk,25-34,Unk,Unk,Male,One,2001-2010,Unk,15-24,Unk,Severe,Female
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Sideswipe,FALSE,Clear,5001-10000,Two,Narrow,55-64,Normal,Not Distracted,Male,One,2001-2010,No Violations,75-Inf,Inattentive/Distracted,Moderate,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Sideswipe,FALSE,Clear,Unk,No Info.,Unk,35-44,Inattentive/Distracted,Unk,Male,One,1991-2000,Unk,15-24,Unk,Moderate,Male
6PM-12AM,No Control,TRUE,Straight-Level,Weekend,FALSE,Dark - Street Light,Unk,FALSE,Clear,Over 10000,Four,Very Wide,15-24,Normal,Not Distracted,Female,One,2001-2010,No Violations,25-34,Impaired,Moderate,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Over 10000,Four,Very Wide,25-34,Normal,Not Distracted,Male,One,2001-2010,No Violations,65-74,Unk,Complaint,Male
12PM-6PM,Partial Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Left Turn,TRUE,Clear,Over 10000,Four,Very Wide,45-54,Inattentive/Distracted,Not Distracted,Male,One,2001-2010,Failure To Yield,Unk,Normal,No Injury,Unk
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Unk,TRUE,Abnormal,Unk,No Info.,Unk,15-24,Unk,Not Distracted,Male,Two,2001-2010,No Violations,Unk,Unk,Severe,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Sideswipe,TRUE,Clear,Over 10000,Four,Very Wide,25-34,Normal,Not Distracted,Female,One,2001-2010,No Violations,35-44,Unk,No Injury,Female
6PM-12AM,No Control,TRUE,Straight-Level,Weekday,FALSE,Dark - No Street Lights,Single Vehicle,TRUE,Clear,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Female,One,2001-2010,No Violations,Unk,Impaired,No Injury,Unk
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Single Vehicle,TRUE,Abnormal,Unk,No Info.,Unk,55-64,Inattentive/Distracted,Outside Vehicle,Female,One,2001-2010,Unk,Unk,Unk,No Injury,Unk
12PM-6PM,Partial Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,75-Inf,Normal,Not Distracted,Female,One,1991-2000,No Violations,Unk,Unk,Complaint,Female
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - No Street Lights,Single Vehicle,TRUE,Clear,Unk,No Info.,Unk,35-44,Inattentive/Distracted,Outside Vehicle,Female,One,1991-2000,No Violations,15-24,Normal,Complaint,Male
12PM-6PM,Partial Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Right Angle,TRUE,Clear,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Female,One,1991-2000,No Violations,45-54,Unk,No Injury,Male
12PM-6PM,No Control,TRUE,Straight-Level,Weekend,FALSE,Daylight,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,45-54,Normal,Not Distracted,Male,One,2001-2010,No Violations,35-44,Impaired,Moderate,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,TRUE,Dark - Street Light,Unk,FALSE,Abnormal,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,Unk ,Careless Operation,55-64,Normal,Moderate,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,TRUE,Daylight,Single Vehicle,TRUE,Clear,Unk,No Info.,Unk,45-54,Unk,Unk,Female,One,Unk ,Unk,25-34,Normal,Moderate,Female
6PM-12AM,No Control,FALSE,Curve-Level,Weekend,FALSE,Dark - Street Light,Single Vehicle,FALSE,Unk,Unk,No Info.,Unk,15-24,Unk,Unk,Female,One,2001-2010,Unk,15-24,Unk,No Injury,Male
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Left Turn,TRUE,Clear,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Male,Two,2001-2010,Failure To Yield,Unk,Unk,No Injury,Unk
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Right Angle,FALSE,Clear,Unk,No Info.,Unk,45-54,Normal,Unk,Male,Two,2001-2010,No Violations,Unk,Unk,Moderate,Female
12PM-6PM,Unk,FALSE,Straight-Level,Weekend,FALSE,Daylight,Right Angle,TRUE,Clear,Unk,No Info.,Unk,65-74,Normal,Unk,Female,One,2001-2010,No Violations,Unk,Unk,Complaint,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,TRUE,Dark - No Street Lights,Single Vehicle,TRUE,Abnormal,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,Unk ,Unk,Unk,Normal,No Injury,Unk
6PM-12AM,No Control,TRUE,Straight-Level,Weekend,FALSE,Dark - Street Light,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Male,One,2001-2010,No Violations,Unk,Impaired,No Injury,Unk
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Single Vehicle,TRUE,Clear,Over 10000,Two,Wide,15-24,Normal,Not Distracted,Female,Two,1991-2000,No Violations,45-54,Inattentive/Distracted,Moderate,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Unk,FALSE,Clear,Unk,No Info.,Unk,55-64,Normal,Outside Vehicle,Male,Two,1991-2000,No Violations,Unk,Unk,No Injury,Unk
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,35-44,Unk,Unk,Male,One,2001-2010,No Violations,Unk,Unk,Complaint,Female
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Abnormal,Over 10000,Four,Very Wide,15-24,Normal,Not Distracted,Female,One,1991-2000,No Violations,Unk,Unk,Moderate,Male
12PM-6PM,Partial Control,TRUE,Straight-Level,Weekday,FALSE,"Dusk, Dawn",Unk,FALSE,Clear,Unk,No Info.,Unk,45-54,Normal,Unk,Female,One,2001-2010,No Violations,45-54,Impaired,Severe,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Male,One,1991-2000,No Violations,Unk,Inattentive/Distracted,Moderate,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Abnormal,Unk,No Info.,Unk,75-Inf,Inattentive/Distracted,Not Distracted,Female,One,1991-2000,Unk,Unk,Normal,Complaint,Female
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Male,One,1990 and Before,No Violations,Unk,Inattentive/Distracted,Complaint,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,55-64,Normal,Not Distracted,Male,One,2001-2010,No Violations,Unk,Inattentive/Distracted,No Injury,Male
6AM-12PM,No Control,FALSE,Unk,Weekday,FALSE,Daylight,Unk,TRUE,Clear,Over 10000,Four,Very Wide,75-Inf,Inattentive/Distracted,Not Distracted,Male,One,1991-2000,Careless Operation,25-34,Normal,Complaint,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Unk,FALSE,Clear,Unk,No Info.,Unk,15-24,Normal,Unk,Male,One,1991-2000,No Violations,15-24,Inattentive/Distracted,Moderate,Female
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Single Vehicle,FALSE,Clear,5001-10000,Four,Very Wide,25-34,Normal,Not Distracted,Female,Four,1991-2000,No Violations,75-Inf,Unk,Moderate,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,TRUE,Abnormal,Over 10000,Four,Very Wide,35-44,Normal,Not Distracted,Female,One,2001-2010,Failure To Yield,35-44,Normal,Moderate,Male
12PM-6PM,Full Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,FALSE,Abnormal,Over 10000,Four,Very Wide,15-24,Inattentive/Distracted,Not Distracted,Female,One,1991-2000,Careless Operation,35-44,Normal,Fatal,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Left Turn,FALSE,Abnormal,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Male,Four,1991-2000,No Violations,Unk,Inattentive/Distracted,Complaint,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,TRUE,Daylight,Single Vehicle,FALSE,Clear,5001-10000,Two,Very Wide,25-34,Normal,Not Distracted,Male,One,1991-2000,Unk,Unk,Inattentive/Distracted,Moderate,Male
12PM-6PM,No Control,FALSE,Curve-Level,Weekday,TRUE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,Unk,Unk,Unk,Male,One,Unk ,Unk,15-24,Unk,Moderate,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,FALSE,Clear,Over 10000,Four,Very Wide,15-24,Inattentive/Distracted,Outside Vehicle,Female,One,2001-2010,No Violations,25-34,Normal,Complaint,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,TRUE,Clear,Over 10000,Four,Very Wide,Unk,Unk,Unk,Unk,One,Unk ,No Violations,15-24,Inattentive/Distracted,Complaint,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,TRUE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,Unk,Unk,Unk,Male,One,Unk ,Careless Operation,Unk,Normal,Complaint,Male
12AM-6AM,Partial Control,FALSE,Straight-Level,Weekday,TRUE,Unk,Single Vehicle,FALSE,Unk,Over 10000,Four,Very Wide,15-24,Unk,Unk,Male,One,2001-2010,Unk,75-Inf,Unk,Fatal,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Right Angle,TRUE,Clear,Unk,No Info.,Unk,55-64,Normal,Not Distracted,Female,One,2001-2010,No Violations,Unk,Unk,Complaint,Male
6PM-12AM,No Control,TRUE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,FALSE,Abnormal,Unk,No Info.,Unk,35-44,Normal,Not Distracted,Female,Three,1991-2000,No Violations,35-44,Impaired,Moderate,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,TRUE,Dark - Street Light,Unk,FALSE,Abnormal,5001-10000,Two,Narrow,25-34,Normal,Not Distracted,Unk,One,Unk ,No Violations,Unk,Unk,No Injury,Unk
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Right Angle,FALSE,Clear,Unk,No Info.,Unk,35-44,Normal,Not Distracted,Male,One,1991-2000,No Violations,Unk,Inattentive/Distracted,Complaint,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,45-54,Normal,Not Distracted,Female,Two,1991-2000,No Violations,15-24,Normal,Moderate,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,TRUE,Abnormal,5001-10000,Two,Very Wide,55-64,Unk,Not Distracted,Female,One,2001-2010,Unk,15-24,Unk,Complaint,Male
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,TRUE,Clear,5001-10000,Four,Very Wide,35-44,Normal,Not Distracted,Male,One,1991-2000,No Violations,75-Inf,Unk,Moderate,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Unk,TRUE,Clear,Over 10000,Four,Very Wide,15-24,Normal,Not Distracted,Female,One,2001-2010,Unk,25-34,Normal,Severe,Male
6PM-12AM,Partial Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Unk,TRUE,Abnormal,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Male,One,1991-2000,No Violations,Unk,Normal,Moderate,Female
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,TRUE,"Dusk, Dawn",Unk,TRUE,Clear,Unk,No Info.,Unk,15-24,Unk,Unk,Female,One,1990 and Before,Unk,Unk,Unk,No Injury,Unk
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Female,One,1991-2000,No Violations,Unk,Inattentive/Distracted,Complaint,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Male,One,2001-2010,No Violations,35-44,Inattentive/Distracted,Moderate,Female
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Single Vehicle,TRUE,Clear,Unk,No Info.,Unk,75-Inf,Normal,Not Distracted,Female,One,1991-2000,No Violations,Unk,Inattentive/Distracted,Severe,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,TRUE,Daylight,Single Vehicle,FALSE,Abnormal,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,1990 and Before,Unk,Unk,Unk,No Injury,Unk
12PM-6PM,No Control,FALSE,Hillcrest,Weekday,FALSE,Daylight,Unk,FALSE,Clear,Over 10000,Four,Very Wide,75-Inf,Normal,Not Distracted,Male,One,1991-2000,No Violations,Unk,Inattentive/Distracted,Moderate,Male
12AM-6AM,Partial Control,FALSE,Hillcrest,Weekend,FALSE,Dark - Street Light,Unk,TRUE,Clear,Over 10000,Four,Very Wide,15-24,Normal,Unk,Male,Two,1991-2000,No Violations,Unk,Unk,No Injury,Unk
12AM-6AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - No Street Lights,Unk,FALSE,Abnormal,Unk,No Info.,Unk,15-24,Normal,Unk,Male,Two,1991-2000,No Violations,15-24,Unk,Severe,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,TRUE,Daylight,Unk,FALSE,Abnormal,Unk,No Info.,Unk,15-24,Normal,Unk,Female,Two,2001-2010,No Violations,Unk,Normal,Complaint,Female
6AM-12PM,Partial Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,TRUE,Clear,Over 10000,Four,Very Wide,25-34,Normal,Not Distracted,Female,One,1991-2000,Unk,55-64,Unk,Moderate,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Unk,TRUE,Abnormal,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Female,One,1991-2000,No Violations,Unk,Normal,Complaint,Male
12PM-6PM,No Control,TRUE,Straight-Level,Weekday,TRUE,Daylight,Unk,TRUE,Abnormal,Over 10000,Six,Very Wide,Unk,Unk,Unk,Unk,One,Unk ,Unk,75-Inf,Impaired,Complaint,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,TRUE,Abnormal,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Male,One,1991-2000,No Violations,15-24,Inattentive/Distracted,No Injury,Male
12PM-6PM,No Control,FALSE,Curve-Level,Weekday,FALSE,Daylight,Unk,TRUE,Abnormal,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Male,Five or more,1990 and Before,No Violations,55-64,Inattentive/Distracted,Complaint,Male
12PM-6PM,No Control,FALSE,Curve-Level,Weekday,FALSE,Daylight,Unk,TRUE,Abnormal,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Male,Five or more,1990 and Before,No Violations,35-44,Inattentive/Distracted,Complaint,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,FALSE,Abnormal,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Male,Two,2001-2010,No Violations,45-54,Inattentive/Distracted,No Injury,Female
12AM-6AM,No Control,FALSE,Straight-Level,Weekday,TRUE,Dark - Street Light,Unk,FALSE,Abnormal,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,1991-2000,Unk,Unk,Unk,No Injury,Unk
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Female,One,1991-2000,Unk,Unk,Normal,Moderate,Male
6AM-12PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,55-64,Normal,Unk,Male,One,1991-2000,Other Improper Turning,45-54,Normal,Moderate,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Female,Two,1991-2000,No Violations,Unk,Normal,Complaint,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,TRUE,Daylight,Unk,TRUE,Clear,Over 10000,Four,Very Wide,Unk,Unk,Unk,Unk,One,Unk ,Unk,Unk,Unk,Moderate,Male
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Female,Three,2001-2010,No Violations,Unk,Inattentive/Distracted,Complaint,Male
12PM-6PM,No Control,FALSE,Hillcrest,Weekend,FALSE,Daylight,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,65-74,Normal,Not Distracted,Female,One,2001-2010,No Violations,Unk,Unk,Moderate,Female
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - No Street Lights,Unk,FALSE,Clear,5001-10000,Two,Wide,45-54,Normal,Not Distracted,Unk,One,1991-2000,No Violations,Unk,Unk,No Injury,Unk
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,TRUE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,Unk ,Unk,45-54,Normal,Severe,Female
